created,text,boro,boro_code,street,alarm
2019-03-25T15:43:28Z,"BKLYN ALLHANDS 2717 FARRAGUT RD, MULTIPLE DWELLING FIRE ON TOP FLR OF BUILDING, UNDER CONTROL",BK,3,2717 FARRAGUT RD,9
2019-03-25T15:38:45Z,"BKLYN ALLHANDS 2717 FARRAGUT RD, MULTIPLE DWELLING FIRE ON TOP FLR OF BUILDING,",BK,3,2717 FARRAGUT RD,1
2019-03-25T14:11:53Z,"BX ALLHANDS 2140 SEWARD AVE, MULTIPLE DWELLING COMPACTOR FIRE, UNDER CONTROL",BX,2,2140 SEWARD AVE,9
2019-03-25T11:22:13Z,"MAN ALLHANDS 1433 YORK AVE, COMMERCIAL FIRE IN BASEMENT,",MH,1,1433 YORK AVE,1
2019-03-25T09:40:58Z,"QNS ALLHANDS 114-42 169 ST, FIRE 2 FLR, UNDER CONTROL",QN,4,114-42 169 ST,9
2019-03-25T02:42:40Z,"BX ALLHANDS 563 CAULDWELL AVE, MULTIPLE DWELLING FIRE ON THE 6TH FLR, UNDER CONTROL",BX,2,563 CAULDWELL AVE,9
2019-03-25T02:33:26Z,"BX ALLHANDS 563 CAULDWELL AVE, MULTIPLE DWELLING",BX,2,563 CAULDWELL AVE,1
2019-03-25T02:30:02Z,"BX ALLHANDS 837 LOGAN AVE, PRIVATE DWELLING FIRE ON EXTERIOR OF HOUSE, UNDER CONTROL",BX,2,837 LOGAN AVE,9
2019-03-25T02:23:56Z,"BX ALLHANDS 19 MOUNT HOPE PL, PRIVATE DWELLING FIRE ON THE 1ST FLR, UNDER CONTROL",BX,2,19 MOUNT HOPE PL,9
2019-03-24T23:33:39Z,"BKLYN ALLHANDS 77 14 ST, COMMERCIAL FIRE IN A WAREHOUSE, UNDER CONTROL",BK,3,77 14 ST,9
2019-03-24T23:18:15Z,"BKLYN ALLHANDS 77 14 ST, COMMERCIAL FIRE IN A WAREHOUSE,",BK,3,77 14 ST,1
2019-03-24T18:49:26Z,"BKLYN ALLHANDS 166 AUTUMN AVE, PRIVATE DWELLING FIRE IN THE BASEMENT, UNDER CONTROL",BK,3,166 AUTUMN AVE,9
2019-03-24T18:26:42Z,"BKLYN ALLHANDS 166 AUTUMN AVE, PRIVATE DWELLING FIRE IN THE BASEMENT,",BK,3,166 AUTUMN AVE,1
2019-03-24T10:07:51Z,"BX ALLHANDS 691 CO-OP CITY BLVD, COMMERCIAL CAR FIRE IN THE REAR LOADING DOCK WITH EXTENSION TO 2 TRACTOR TRAILERS, UNDER CONTROL",BX,2,691 CO-OP CITY BLVD,9
2019-03-24T10:01:46Z,"BX ALLHANDS 691 CO-OP CITY BLVD, COMMERCIAL CAR FIRE IN THE REAR LOADING DOCK WITH EXTENSION TO 2 TRUCKS,",BX,2,691 CO-OP CITY BLVD,1
2019-03-24T09:42:20Z,"BKLYN ALLHANDS 1524 BEDFORD AVE, MULTIPLE DWELLING FIRE IN THE BASEMENT, UNDER CONTROL",BK,3,1524 BEDFORD AVE,9
2019-03-24T09:18:10Z,"BKLYN ALLHANDS 1524 BEDFORD AVE, MULTIPLE DWELLING",BK,3,1524 BEDFORD AVE,1
2019-03-24T02:15:05Z,"QNS ALLHANDS 96-20 156 AVE, PRIVATE DWELLING FIRE IN GARAGE, UNDER CONTROL",QN,4,96-20 156 AVE,9
2019-03-23T22:09:01Z,"BX ALLHANDS 1130 ANDERSON AVE, MULTIPLE DWELLING FIRE IN SHAFT BETWEEN 2 BUILDINGS,",BX,2,1130 ANDERSON AVE,1
2019-03-23T21:58:02Z,"BX ALLHANDS 1130 ANDERSON AVE, MULTIPLE DWELLING FIRE IN SHAFT BETWEEN 2 BUILDINGS, UNDER CONTROL",BX,2,1130 ANDERSON AVE,9
