text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"BX ALL HANDS 1327 FTELEY AVE, PRIVATE DWELLING FIRE IN BASEMENT, UNDER CONTROL",FALSE,16,NA,2019-10-25T06:12:00Z,FALSE,NA,1187612754359803904,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BX ALL HANDS 1327 FTELEY AVE, PRIVATE DWELLING FIRE IN BASEMENT,",FALSE,16,NA,2019-10-25T05:38:49Z,FALSE,NA,1187604405006278656,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 8214 3 AVE, MULTIPLE DWELLING KITCHEN FIRE ON 3RD FLR,",FALSE,13,NA,2019-10-25T02:04:31Z,FALSE,NA,1187550475366883328,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 358 MONTGOMERY ST, MULTIPLE DWELLING FIRE IN APT 4D, UNDER CONTROL",FALSE,24,NA,2019-10-24T22:18:54Z,FALSE,NA,1187493697841172480,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,5,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 358 MONTGOMERY ST, MULTIPLE DWELLING FIRE IN APT 4D,",FALSE,15,NA,2019-10-24T21:58:39Z,FALSE,NA,1187488598649704448,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,4,FALSE,FALSE,NA,NA
"BKLYN 2-ALARM 426 8 ST, PRIVATE DWELLING FIRE IN BROWNSTONE,",FALSE,14,NA,2019-10-24T20:25:47Z,FALSE,NA,1187465230995120130,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 426 8 ST, PRIVATE DWELLING FIRE TOP FLR IN BROWNSTONE,",FALSE,17,NA,2019-10-24T20:21:43Z,FALSE,NA,1187464204913205248,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,5,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 2115 ROCKAWAY PKWY, MULTIPLE DWELLING SCAFFOLDING FIRE,",FALSE,11,NA,2019-10-24T19:35:36Z,FALSE,NA,1187452602616811527,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 1600 AVE T, MULTIPLE DWELLING FIRE ON 3RD FLR, UNDER CONTROL",FALSE,8,NA,2019-10-24T16:06:52Z,FALSE,NA,1187400072838946816,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 1600 AVE T, MULTIPLE DWELLING FIRE ON 3RD FLR,",FALSE,9,NA,2019-10-24T15:41:11Z,FALSE,NA,1187393607986286593,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
