input_location,latitude,longitude,bbl,fireBattalion,censusTract2010,communityDistrict,report_date,borough,case_type,cases,individuals
113-01 203 ST,40.70185468191065,-73.75250362244064,4109980022,54, 518  ,412,12/31/2019,Queens,FAMILY WITH CHILDREN,386,1209
113-01 203 ST,40.70185468191065,-73.75250362244064,4109980022,54, 518  ,412,12/31/2019,Queens,SINGLE ADULT,424,424
150-08 LIBERTY AVE,40.67296467919605,-73.90458310294683,3036950013,44, 908  ,316,12/31/2019,Brooklyn,ADULT FAMILY,64,136
150-08 LIBERTY AVE,40.67296467919605,-73.90458310294683,3036950013,44, 908  ,316,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,354,1096
150-08 LIBERTY AVE,40.67296467919605,-73.90458310294683,3036950013,44, 908  ,316,12/31/2019,Brooklyn,SINGLE ADULT,339,339
150-10 LIBERTY AVE,40.67296467919605,-73.90458310294683,3036950013,44, 908  ,316,12/31/2019,Brooklyn,ADULT FAMILY,64,136
150-10 LIBERTY AVE,40.67296467919605,-73.90458310294683,3036950013,44, 908  ,316,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,354,1096
150-10 LIBERTY AVE,40.67296467919605,-73.90458310294683,3036950013,44, 908  ,316,12/31/2019,Brooklyn,SINGLE ADULT,339,339
151 89 ST,40.62228057785891,-74.03574875603945,3060600051,42,  50  ,310,12/31/2019,Brooklyn,ADULT FAMILY,6,13
151 89 ST,40.62228057785891,-74.03574875603945,3060600051,42,  50  ,310,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,20,69
151 89 ST,40.62228057785891,-74.03574875603945,3060600051,42,  50  ,310,12/31/2019,Brooklyn,SINGLE ADULT,40,40
151 89 ST,40.62228057785891,-74.03574875603945,3060600051,42,  50  ,310,12/31/2019,Brooklyn,ADULT FAMILY,6,13
151 89 ST,40.62228057785891,-74.03574875603945,3060600051,42,  50  ,310,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,20,69
151 89 ST,40.62228057785891,-74.03574875603945,3060600051,42,  50  ,310,12/31/2019,Brooklyn,SINGLE ADULT,40,40
1040 METROPOLITAN AVE,40.71442904365527,-73.93480286951326,3029250001,28, 449  ,301,12/31/2019,Brooklyn,ADULT FAMILY,18,37
1040 METROPOLITAN AVE,40.71442904365527,-73.93480286951326,3029250001,28, 449  ,301,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,95,299
1040 METROPOLITAN AVE,40.71442904365527,-73.93480286951326,3029250001,28, 449  ,301,12/31/2019,Brooklyn,SINGLE ADULT,130,130
421 E 168 ST,40.832004175871134,-73.90870942639503,2023950001,17, 145  ,203,12/31/2019,Bronx,ADULT FAMILY,77,164
421 E 168 ST,40.832004175871134,-73.90870942639503,2023950001,17, 145  ,203,12/31/2019,Bronx,FAMILY WITH CHILDREN,457,1478
421 E 168 ST,40.832004175871134,-73.90870942639503,2023950001,17, 145  ,203,12/31/2019,Bronx,SINGLE ADULT,288,288
421 E 168 ST,40.832004175871134,-73.90870942639503,2023950001,17, 145  ,203,12/31/2019,Bronx,ADULT FAMILY,77,164
421 E 168 ST,40.832004175871134,-73.90870942639503,2023950001,17, 145  ,203,12/31/2019,Bronx,FAMILY WITH CHILDREN,457,1478
421 E 168 ST,40.832004175871134,-73.90870942639503,2023950001,17, 145  ,203,12/31/2019,Bronx,SINGLE ADULT,288,288
119-05 89 AVE,40.69738865321592,-73.82942499975466,4093290052,50, 144  ,409,12/31/2019,Queens,ADULT FAMILY,12,24
119-05 89 AVE,40.69738865321592,-73.82942499975466,4093290052,50, 144  ,409,12/31/2019,Queens,FAMILY WITH CHILDREN,63,197
119-05 89 AVE,40.69738865321592,-73.82942499975466,4093290052,50, 144  ,409,12/31/2019,Queens,SINGLE ADULT,91,91
119-05 89 AVE,40.69738865321592,-73.82942499975466,4093290052,50, 144  ,409,12/31/2019,Queens,ADULT FAMILY,12,24
119-05 89 AVE,40.69738865321592,-73.82942499975466,4093290052,50, 144  ,409,12/31/2019,Queens,FAMILY WITH CHILDREN,63,197
119-05 89 AVE,40.69738865321592,-73.82942499975466,4093290052,50, 144  ,409,12/31/2019,Queens,SINGLE ADULT,91,91
90-10 149 ST,40.819383035875966,-73.93107267099008,2023490112,14,  63  ,201,12/31/2019,Bronx,ADULT FAMILY,80,172
90-10 149 ST,40.819383035875966,-73.93107267099008,2023490112,14,  63  ,201,12/31/2019,Bronx,FAMILY WITH CHILDREN,495,1531
90-10 149 ST,40.819383035875966,-73.93107267099008,2023490112,14,  63  ,201,12/31/2019,Bronx,SINGLE ADULT,323,323
